;Unnamed: 0;brand;name;spec_rating;processor;CPU;Ram;Ram_type;ROM;ROM_type;GPU;display_size;resolution_width;resolution_height;price;OS;warranty
16;16;Asus;TUF Gaming F15 FX506HF-HN024W Gaming Laptop;70;11th Gen Intel Core i5 11400H ;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;53649;Windows 11 OS;a
17;17;MSI;Modern 14 C11M-031IN Laptop;69;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel Integrated UHD;14;1920;1080;33990;Windows 11 OS;a
18;18;Infinix;Zerobook 2023 Laptop;71;13th Gen Intel Core i9 13900H;14 Cores (6P + 8E), 20 Threads;32GB;LPDDR5X;1TB;SSD;Intel Integrated Iris Xe;15,6;1920;1080;79990;Windows 11 OS;a
19;19;HP;Victus 15-fa0666TX Gaming Laptop;65;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;68990;Windows 11 OS;a
20;20;Lenovo;IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop;71;11th Gen Intel Core i5 11300H;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce GTX 1650;15,6;1920;1080;45990;Windows 11 OS;a
21;21;Asus;Vivobook 16X 2022 M1603QA-MB502WS Laptop;65;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Vega 7;16;1920;1200;49900;Windows 11 OS;a
22;22;Apple;MacBook Air 2022 Laptop;69;Apple M2;Octa Core (4P + 4E);8GB;DDR4;256GB;SSD;8-Core GPU;13,6;2560;1664;104990;Mac OS;a
23;23;Acer;Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop;72;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;54990;Windows 11 OS;a
24;24;HP;15s-fq2510tu Laptop;64;11th Gen Intel Core i5 1135G7 ;Quad Core, 8 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;15,6;1920;1080;49580;Windows 11 OS;a
25;25;Asus;Vivobook 16X 2022 M1603QA-MB711WS Laptop;71;5th Gen AMD Ryzen 7  5800H;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Vega 7;16;1920;1200;55990;Windows 11 OS;a
26;26;HP;15s-eq2132AU Laptop;63;5th Gen AMD Ryzen 5 5500U;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon AMD;15,6;1920;1080;43990;Windows 11 OS;a
27;28;HP;255 G9 840T7PA Laptop;69;3rd Gen AMD Athlon 3050U;Dual Core, 2 Threads;4GB;DDR4;256GB;SSD;AMD Integrated;15,6;1366;768;19850;DOS OS;a
28;29;Acer;Extensa 15 EX215-33 2023 Laptop;69;Intel Core i3 N305;Octa Core, 8 Threads;8GB;LPDDR5;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;28990;Windows 11 OS;a
29;30;Acer;Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop;71;12th Gen Intel Core i5 1240P;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;54999;Windows 11 OS;a
30;31;Dell;Inspiron 3530 Laptop;69;13th Gen Intel Core i7 1355U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;70990;Windows 11 OS;a
31;32;Lenovo;IdeaPad Gaming 3 82SB00V2IN Laptop;60;6th Gen AMD Ryzen 5 6600H;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;56889;Windows 11 OS;a
32;33;Acer;Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop;78;13th Gen Intel Core i9 13900HX;24 Cores (8P + 16E), 32 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4070;16;1920;1200;179880;Windows 11 OS;a
33;34;HP;Victus 15-fb0150AX Gaming Laptop;71;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB AMD Radeon RX 6500M Graphics;15,6;1920;1080;53790;Windows 11 OS;a
34;35;Acer;Aspire Lite AL15 Laptop;60;5th Gen AMD Ryzen 5 5500U;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Graphics;15,6;1920;1080;37990;Windows 11 OS;a
35;36;Acer;Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop;77;12th Gen Intel Core i7 12650H;10 Cores (6P + 4E), 16 Threads;16GB;DDR4;1TB;SSD;8GB NVIDIA GeForce RTX 3070 Ti;15,6;2560;1440;96990;Windows 11 OS;a
36;37;HP;Pavilion 15-eg3081TU Laptop;66;13th Gen Intel Core i5 1340P;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Integrated;15,6;1920;1080;71990;Windows 11 OS;a
37;38;HP;Victus 16-d0333TX Gaming Laptop;75;11th Gen Intel Core i5 11400H ;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce GTX 1650;16,1;1920;1080;59990;Windows 11 OS;a
38;39;Lenovo;IdeaPad Slim 5 14IAH8 83BF0045IN Laptop;60;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;LPDDR5;1TB;SSD;Intel Graphics;14;1920;1200;62990;Windows 11 OS;a
39;40;Infinix;INBook X3 Slim XL422 2023 Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;LPDDR4X;512GB;SSD;Intel Integrated Iris Xe;14;1920;1080;30990;Windows 11 OS;a
40;41;Lenovo;LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop;70;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 3050;15,6;1920;1080;74990;Windows 11 OS;a
41;42;HP;15s-fr2515TU Laptop;60;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;36490;Windows 11 OS;a
42;44;Dell;G15-5520 2023 Laptop;73;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;DDR5;1TB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;77990;Windows 11 OS;a
43;45;Samsung;Galaxy Book2 NP550XED-KA2IN Laptop;62;12th Gen Intel Core i5 1235U ;10 Cores (2P + 8E), 12 Threads;16GB;LPDDR4;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;54990;Windows 11 OS;a
44;46;Lenovo;IdeaPad 3 15IAU7 82RK00WXIN Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;256GB;SSD;Intel UHD Graphics ;15,6;1920;1080;41190;Windows 11 OS;a
45;47;Asus;ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop;70;13th Gen Intel Core i5 13450HX;10 Cores (6P + 4E), 16 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 3050;16;1920;1200;89990;Windows 11 OS;a
46;48;Lenovo;Legion 9i 2023 Laptop;84;13th Gen Intel Core i9 13980HX;24 Cores (8P + 16E), 32 Threads;32GB;DDR5;1TB;SSD;16GB NVIDIA GeForce RTX 4090;16;3200;2000;399999;Windows 11 OS;a
47;49;Wings;Nuvobook V1 Laptop;69;11th Gen Intel Core i5 1135G7;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel Graphics;15,6;1080;1920;31990;Windows 11 OS;a
48;50;Dell;Inspiron 3525 Laptop;69;5th Gen AMD Ryzen 3 5300U;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Radeon Graphics;15,6;1920;1080;31490;Windows 11 OS;a
49;51;HP;Victus 15-fa0555TX  Laptop;71;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;70590;Windows 11 OS;a
50;52;Asus;TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop;78;12th Gen Intel Core i7 12700H;14 Cores (6P + 8E), 20 Threads;16GB;DDR4;512GB;SSD;8GB NVIDIA GeForce RTX 4060;15,6;1920;1080;104990;Windows 11 OS;a
51;53;Lenovo;V15 82QYA00MIN Laptop;69;Intel Celeron  N4020;Dual Core, 2 Threads;8GB;DDR4;256GB;SSD;Intel Integrated Intel UHD Graphics;15,6;1920;1080;23990;Windows 11 OS;a
52;54;HP;255 G9 7B1L8PA Laptop;64;5th Gen AMD Ryzen 5 5625U;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Graphics;15,6;1366;768;37999;Windows 11 OS;a
53;55;Honor;MagicBook X14 2023 ?FRI-F56 Laptop;66;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;Intel UHD Graphics;14;1920;1200;52990;Windows 11 OS;a
54;56;Lenovo;V15 82KDA01BIH Laptop;62;5th Gen AMD Ryzen 3 5300U;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Graphics;15,6;1920;1080;30849;Windows 11 OS;a
55;57;HP;Victus 15-fa0070TX Laptop;70;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce GTX 1650;15,6;1920;1080;58990;Windows 11 OS;a
56;58;Zebronics;ZEB-NBC 2S Laptop;63;11th Gen Intel Core i5 1155G7;Quad Core, 8 Threads;16GB;LPDDR4X;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;34990;Windows 11 OS;a
57;59;Lenovo;ThinkBook 15 Gen 5 21JF0026MJ Laptop;69;7th Gen AMD Ryzen 7 7730U;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;AMD Radeon AMD;16;1920;1080;49990;Windows 11 OS;a
58;61;HP;15S-FQ5202TU Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;15,6;1920;1080;51780;Windows 11 OS;a
59;62;Asus;TUF Gaming F15 FX506HE-HN382W Gaming Laptop;71;11th Gen Intel Core i7 11800H;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050 Ti;15,6;1920;1080;68990;Windows 11 OS;a
60;63;Asus;TUF Gaming F15 FX577ZC-HN192W Gaming Laptop;76;12th Gen Intel Core i7 12700H ;14 Cores, 20 Threads;16GB;DDR5;1TB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;85990;Windows 11 OS;a
61;64;Lenovo;LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop;67;13th Gen Intel Core i7 13620H;10 Cores (6P + 4E), 16 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 4050;15,6;1920;1080;96990;Windows 11 OS;a
62;65;Lenovo;Legion Y9000X 2023 Laptop;80;13th Gen Intel Core i9 13900H;14 Cores (6P + 8E), 20 Threads;32GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4060;16;3200;2000;148990;Windows 11 OS;a
63;66;Asus;TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop;75;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 3050;17,3;1920;1080;72990;Windows 11 OS;a
64;67;Dell;Inspiron 5430 Laptop;66;13th Gen Intel Core i7 1360P;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;1TB;SSD;Intel Iris Xe Graphics;14;1920;1200;84490;Windows 11 OS;a
65;68;Asus;Vivobook 15 X1502ZA-EJ741WS Laptop;67;12th Gen Intel Core i7 12650H;10 Cores (6P + 4E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;60990;Windows 11 OS;a
66;69;Infinix;INBook X2 Slim Series XL23 Laptop;69;11th Gen Intel Core i5 1155G7;Quad Core, 8 Threads;16GB;LPDDR4X;512GB;SSD;Intel Integrated Iris Xe;14;1920;1080;33990;Windows 11 OS;a
67;70;Asus;VivoBook 14 X415EA-EK344WS Notebook;64;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Intel UHD;14;1920;1080;35990;Windows 11 OS;a
68;71;Acer;Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop;70;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce GTX 3050;15,6;1920;1080;60990;Windows 11 OS;a
69;72;Xiaomi;Redmi Book 14 2023 Laptop;69;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;DDR5;512GB;SSD;Intel Iris Xe Graphics;14;2880;1800;43990;Windows 11 OS;a
70;73;Asus;Vivobook 16X 2023 K3605ZF-MB541WS Laptop;72;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;16;1920;1200;62990;Windows 11 OS;a
71;74;MSI;GF63 Thin 11UC-1294IN Gaming Laptop;76;11th Gen Intel Core i7 11800H;Octa Core, 16 Threads;16GB;DDR4;1TB;Hard-Disk;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;65990;Windows 11 OS;a
72;75;Infinix;INBook Y1 Plus Neo XL30 Laptop;69;11th Gen Intel Celeron N5100;Quad Core, 4 Threads;8GB;LPDDR4X;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;23990;Windows 11 OS;a
74;77;Asus;TUF Gaming F15 FX506HC-HN362WS Gaming Laptop;72;11th Gen Intel Core i5 11400H ;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;61990;Windows 11 OS;a
75;78;Dell;Inspiron 3525 Laptop;62;5th Gen AMD Ryzen 3 5425U;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Radeon Graphics;15,6;1920;1080;36990;Windows 11 OS;a
76;79;Asus;Vivobook 16X 2022 M1603QA-MB511WS Laptop;65;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Vega 7 Graphics;16;1920;1200;50970;Windows 11 OS;a
77;80;Dell;Precision 5550 Laptop;70;10th Gen Intel Core i7 10750H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA ;15,6;1920;1200;184999;Windows 10 OS;c
78;81;HP;Omen 16-XD0007ax Gaming Laptop;76;7th Gen AMD Ryzen 7 7840HS;Octa Core, 16 Threads;16GB;DDR5;1TB;SSD;6GB NVIDIA GeForce RTX 4050;16,1;1920;1080;109990;Windows 11 OS;a
79;82;Zebronics;Pro Series Z ZEB-NBC 4S Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;Intel Integrated;15,6;1920;1080;42990;Windows 11 OS;a
80;83;HP;15s-fq5185TU Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;39150;Windows 11 OS;a
81;84;Acer;Swift Go NXKPZSI002 Laptop;64;13th Gen Intel Core i5 13500H;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Integrated Iris Xe;14;2880;1800;92999;Windows 11 OS;a
82;85;HP;Victus 16-s0095AX Gaming Laptop;76;7th Gen AMD Ryzen 7 7840HS;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 3050;16,1;1920;1080;80990;Windows 11 OS;a
83;86;HP;Victus 15-FB1001AX Gaming Laptop;70;7th Gen AMD Ryzen 5 7535HS;Hexa Core, 12 Threads;8GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;55850;Windows 11 OS;a
84;87;Acer;Aspire Lite AL15-51 UN.431SI.288 Laptop;64;11th Gen Intel Core i5 1135G7;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel Iris XE Graphics ;15,6;1920;1080;38990;Windows 11 OS;a
85;88;MSI;Thin GF63 11UCX-1492IN Gaming Laptop;73;11th Gen Intel Core i5 11260H;Hexa Core, 12 Threads;16GB;DDR4;1TB;Hard-Disk;GB NVIDIA GeForce RTX 2050;15,6;1920;1080;53990;Windows 11 OS;a
86;89;Infinix;INBook X3 Slim XL422 Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;16GB;LPDDR4X;512GB;SSD;Intel Integrated Iris Xe;14;1920;1080;38990;Windows 11 OS;a
87;90;HP;Omen 16-xf0060AX Gaming Laptop;80;7th Gen AMD Ryzen 7 7840HS;Octa Core, 16 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4060;16;1920;1080;139234;Windows 11 OS;a
88;91;MSI;Thin GF63 11UC-1490IN Gaming Laptop;73;11th Gen Intel Core i5 11260H;Hexa Core, 12 Threads;16GB;DDR4;1TB;Hard-Disk;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;57990;Windows 11 OS;a
89;92;Lenovo;LOQ 2023 Gaming Laptop;64;13th Gen Intel Core i5 13420H;Octa Core (4P + 4E), 12 Threads;8GB;DDR5;512GB;SSD;8GB NVIDIA GeForce RTX 4060;15,6;1920;1080;89999;Windows 11 OS;a
90;93;Acer;One 14 Z8-415 ?2023 Laptop;60;11th Gen Intel Core i5  1135G7;Quad Core, 8 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;14;1920;1080;37990;Windows 11 OS;a
91;94;Asus;VivoBook 14 X415EA-EK326WS Notebook;69;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel Integrated Intel UHD;14;1920;1080;30990;Windows 11 OS;a
92;95;Dell;G15-5530 GN5530D83M6002ORB1 Gaming Laptop;71;13th Gen Intel Core i5 13450HX;10 Cores (6P + 4E), 16 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 3050;15,6;1920;1080;92990;Windows 11 OS;a
93;96;HP;15s-fr5009TU Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;42990;Windows 11 OS;a
94;97;Asus;TUF Gaming F15 FX506HF-HN025W Gaming Laptop;72;11th Gen Intel Core i5 11400H ;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;59089;Windows 11 OS;a
95;98;HP;Victus 15-fa0998TX Gaming Laptop;72;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;72999;Windows 11 OS;a
96;99;HP;Omen 16-n0123AX Gaming Laptop;77;6th Gen AMD Ryzen 7  6800H;Octa Core, 16 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 3070 Ti ;16,1;2560;1440;126742;Windows 11 OS;a
97;100;Apple;MacBook Air 15 2023 Laptop;69;Apple M2;Octa Core (4P + 4E);8GB;DDR4;256GB;SSD;10-Core GPU;15,3;2880;1864;126990;Mac OS;a
98;101;Samsung;Galaxy Book2 NP550XED-KA1IN 15 Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;LPDDR4;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;49990;Windows 11 OS;a
99;102;Dell;Inspiron 5420 Laptop;62;12th Gen Intel Core i5 1240P;12 Cores (4P + 8E), 16 Threads;16GB;DDR5;512GB;SSD;Intel Integrated UHD;14;1920;1080;74390;Windows 11 OS;a
100;103;Dell;Inspiron 3520 D560871WIN9B Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;52990;Windows 11 OS;a
101;104;Lenovo;IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop;67;11th Gen Intel Core i5 11300H;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050 Graphics;15,6;1920;1080;60990;Windows 11 OS;a
102;105;HP;Omen 16-n0079AX Gaming Laptop;80;6th Gen AMD Ryzen 7  6800H;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;8GB AMD Radeon RX 6650M;16,1;1920;1080;98174;Windows 11 OS;a
103;106;Lenovo;E41-55 Laptop;69;AMD Athlon Pro 3045B;Dual Core, 2 Threads;8GB;DDR4;256GB;SSD;AMD Radeon Graphics;14;1920;1080;18990;Windows 11 OS;a
104;107;Asus;VivoBook 15 X515EA-EJ522WS Laptop;60;11th Gen Intel Core i5 1135G7;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel Integrated Iris Xe;15,6;1920;1080;38990;Windows 11 OS;a
105;108;HP;14s-fq1092au Laptop;64;5th Gen AMD Ryzen 5  5500U;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;AMD Radeon AMD;14;1920;1080;41950;Windows 11 OS;a
106;109;Xiaomi;Mi Notebook Ultra Laptop;65;11th Gen Intel Core i5 11300H ;Quad Core, 8 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;15,6;3200;2000;46990;Windows 10  OS;a
107;110;iBall;Excelance CompBook Laptop;69;Intel Atom Quad Core Z3735F;Quad Core;2GB;DDR3;32GB;Hard-Disk;Intel HD Graphics;11,6;1366;768;9999;Windows 10 OS;a
109;112;Asus;Vivobook 15 X1502ZA-EJ385WS Laptop;69;12th Gen Intel Core i3 1220P;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;40990;Windows 11 OS;a
110;114;Lenovo;IdeaPad Gaming 3 82SB00V5IN Laptop;67;6th Gen AMD Ryzen 7 6800H;Octa Core, 16 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;74990;Windows 11 OS;a
111;115;Zebronics;ZEB-NBC 3S 2023 Laptop;65;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel Integrated;15,6;1920;1080;33990;Windows 11 OS;a
112;116;Zebronics;Pro Series Z ZEB-NBC 4S 2023 Laptop;66;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Integrated;15,6;1920;1080;39990;Windows 11 OS;a
113;117;Asus;CX1101CMA-GJ0004 Chromebook;69;Intel Celeron  N4020;Dual Core, 2 Threads;4GB;LPDDR4;32GB;Hard-Disk;Intel UHD Graphics 600;11,6;1366;768;10990;Chrome OS;a
114;118;MSI;Katana 15 B13UDXK-1482IN Gaming Laptop;75;13th Gen Intel Core i5 13500H;12 Cores (4P + 8E), 16 Threads;32GB;DDR5;1TB;SSD;6GB NVIDIA GeForce RTX 3050;15,6;1920;1080;88990;Windows 11 OS;b
116;121;HP;15s-fy5007TU Laptop;62;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;54990;Windows 11 OS;a
